time,resistor,capacitor
0, 5.00, 0.00
401, 4.80, 0.20
803, 4.61, 0.39
1206, 4.43, 0.57
1607, 4.26, 0.74
2010, 4.09, 0.91
2412, 3.93, 1.07
2814, 3.77, 1.23
3217, 3.63, 1.37
3619, 3.48, 1.52
4022, 3.34, 1.66
4423, 3.21, 1.79
4826, 3.08, 1.92
5228, 2.96, 2.04
5630, 2.85, 2.15
6033, 2.74, 2.26
6435, 2.63, 2.37
6838, 2.52, 2.48
7240, 2.42, 2.58
7642, 2.33, 2.67
8044, 2.24, 2.76
8446, 2.15, 2.85
8849, 2.06, 2.94
9251, 1.98, 3.02
9654, 1.91, 3.09
10056, 1.83, 3.17
10459, 1.75, 3.25
10861, 1.69, 3.31
11264, 1.62, 3.38
11666, 1.56, 3.44
12068, 1.50, 3.50
12471, 1.44, 3.56
12873, 1.38, 3.62
13276, 1.32, 3.68
13678, 1.28, 3.72
14081, 1.22, 3.78
14482, 1.17, 3.83
14884, 1.13, 3.87
15287, 1.09, 3.91
15689, 1.04, 3.96
16092, 1.00, 4.00
16494, 0.96, 4.04
16897, 0.92, 4.08
17299, 0.88, 4.12
17701, 0.85, 4.15
18104, 0.82, 4.18
18506, 0.79, 4.21
18909, 0.75, 4.25
19311, 0.72, 4.28
19714, 0.70, 4.30
20116, 0.67, 4.33
20518, 0.65, 4.35
20921, 0.62, 4.38
21323, 0.59, 4.41
21726, 0.57, 4.43
22128, 0.55, 4.45
22531, 0.53, 4.47
22933, 0.50, 4.50
23335, 0.48, 4.52
23738, 0.46, 4.54
24140, 0.45, 4.55
24543, 0.43, 4.57
24945, 0.42, 4.58
25348, 0.40, 4.60
25750, 0.38, 4.62